AdNetworkType,AdId,ClickType
SEARCH,14430280290,UNKNOWN
SEARCH,14430280295,UNKNOWN
SEARCH,14430280297,TITLE
SEARCH,14430280297,UNKNOWN
SEARCH,14430280298,TITLE
SEARCH,14430280298,UNKNOWN
SEARCH,14430280299,UNKNOWN
SEARCH,14430280301,UNKNOWN
SEARCH,14430280304,TITLE
SEARCH,14430280304,UNKNOWN
SEARCH,14430280307,TITLE
SEARCH,14430280307,UNKNOWN
SEARCH,14430280308,UNKNOWN
SEARCH,14430280309,SITELINK1
SEARCH,14430280309,TITLE
SEARCH,14430280309,UNKNOWN
SEARCH,14430280310,TITLE
SEARCH,14430280310,UNKNOWN
SEARCH,14430280311,TITLE
SEARCH,14430280311,UNKNOWN
SEARCH,14430280312,UNKNOWN
SEARCH,14430280313,TITLE
SEARCH,14430280313,UNKNOWN
SEARCH,14430280314,UNKNOWN
SEARCH,14430280315,TITLE
SEARCH,14430280315,UNKNOWN
SEARCH,14430280316,TITLE
SEARCH,14430280316,UNKNOWN
SEARCH,14430280317,TITLE
SEARCH,14430280317,UNKNOWN
SEARCH,14430280318,UNKNOWN
SEARCH,14430280319,TITLE
SEARCH,14430280319,UNKNOWN
SEARCH,14430280321,UNKNOWN
SEARCH,14430280322,TITLE
SEARCH,14430280322,UNKNOWN
SEARCH,14430280323,UNKNOWN
SEARCH,14430280324,UNKNOWN
SEARCH,14430280325,TITLE
SEARCH,14430280325,UNKNOWN
SEARCH,14430280331,TITLE
SEARCH,14430280331,UNKNOWN
SEARCH,14430280332,UNKNOWN
SEARCH,14430280333,UNKNOWN
SEARCH,14430280334,SITELINK1
SEARCH,14430280334,UNKNOWN
SEARCH,14430280335,TITLE
SEARCH,14430280335,UNKNOWN
SEARCH,14430280336,TITLE
SEARCH,14430280336,UNKNOWN
SEARCH,14430280337,UNKNOWN
SEARCH,14430280338,UNKNOWN
SEARCH,14430280339,UNKNOWN
SEARCH,14430280340,TITLE
SEARCH,14430280340,UNKNOWN
SEARCH,14430280341,TITLE
SEARCH,14430280341,UNKNOWN
SEARCH,14430280342,UNKNOWN
SEARCH,14430280343,UNKNOWN
SEARCH,14430280344,TITLE
SEARCH,14430280344,UNKNOWN
SEARCH,14430280346,TITLE
SEARCH,14430280346,UNKNOWN
SEARCH,14430280347,TITLE
SEARCH,14430280347,UNKNOWN
SEARCH,14430280379,TITLE
SEARCH,14430280379,UNKNOWN
SEARCH,14430280380,TITLE
SEARCH,14430280380,UNKNOWN
SEARCH,14430280381,UNKNOWN
SEARCH,14430280382,UNKNOWN
SEARCH,14430280383,UNKNOWN
SEARCH,14431553797,PHONE
SEARCH,14431553797,SITELINK1
SEARCH,14431553797,TITLE
SEARCH,14431553797,UNKNOWN
SEARCH,14431553799,SITELINK1
SEARCH,14431553799,TITLE
SEARCH,14431553799,UNKNOWN
SEARCH,14431553806,SITELINK1
SEARCH,14431553806,TITLE
SEARCH,14431553806,UNKNOWN
SEARCH,14432395277,TITLE
SEARCH,14432395277,UNKNOWN
SEARCH,14432395278,UNKNOWN
SEARCH,14432395280,TITLE
SEARCH,14432395280,UNKNOWN
SEARCH,14432395281,TITLE
SEARCH,14432395281,UNKNOWN
SEARCH,14432395282,UNKNOWN
SEARCH,14432395286,UNKNOWN
SEARCH,14432395287,UNKNOWN
SEARCH,14432395289,TITLE
SEARCH,14432395289,UNKNOWN
SEARCH,14432395290,TITLE
SEARCH,14432395290,UNKNOWN
SEARCH,14432395292,TITLE
SEARCH,14432395292,UNKNOWN
SEARCH,14432395293,TITLE
SEARCH,14432395293,UNKNOWN
SEARCH,14432395294,TITLE
SEARCH,14432395294,UNKNOWN
SEARCH,14432395295,SITELINK1
SEARCH,14432395295,SITELINK2
SEARCH,14432395295,TITLE
SEARCH,14432395295,UNKNOWN
SEARCH,14432395296,PHONE
SEARCH,14432395296,SITELINK3
SEARCH,14432395296,SITELINK4
SEARCH,14432395296,TITLE
SEARCH,14432395296,UNKNOWN
SEARCH,14448493922,TITLE
SEARCH,14448493922,UNKNOWN
SEARCH,14448493923,TITLE
SEARCH,14448493923,UNKNOWN
SEARCH,14448493924,TITLE
SEARCH,14448493924,UNKNOWN
SEARCH,14448493925,TITLE
SEARCH,14448493925,UNKNOWN
SEARCH,14448510839,SITELINK2
SEARCH,14448510839,SITELINK4
SEARCH,14448510839,SITELINK8
SEARCH,14448510839,TITLE
SEARCH,14448510839,UNKNOWN
SEARCH,14448510840,TITLE
SEARCH,14448510840,UNKNOWN
SEARCH,14448510841,TITLE
SEARCH,14448510841,UNKNOWN
SEARCH,14448510842,SITELINK2
SEARCH,14448510842,SITELINK3
SEARCH,14448510842,TITLE
SEARCH,14448510842,UNKNOWN
SEARCH,14448510843,SITELINK2
SEARCH,14448510843,TITLE
SEARCH,14448510843,UNKNOWN
SEARCH,14448510844,SITELINK2
SEARCH,14448510844,TITLE
SEARCH,14448510844,UNKNOWN
SEARCH,14448716929,UNKNOWN
SEARCH,14448823044,SITELINK4
SEARCH,14448823044,UNKNOWN
SEARCH,14462238674,TITLE
SEARCH,14462238674,UNKNOWN
SEARCH,14462238676,TITLE
SEARCH,14462238676,UNKNOWN
SEARCH,14462238678,TITLE
SEARCH,14462238678,UNKNOWN
SEARCH,14462238680,SITELINK2
SEARCH,14462238680,TITLE
SEARCH,14462238680,UNKNOWN
SEARCH,14462238687,TITLE
SEARCH,14462238687,UNKNOWN
SEARCH,14462238689,UNKNOWN
SEARCH,14462238691,TITLE
SEARCH,14462238691,UNKNOWN
SEARCH,14463722236,UNKNOWN
SEARCH,14463722237,UNKNOWN
SEARCH,14463722238,UNKNOWN
SEARCH,14463722242,TITLE
SEARCH,14463722242,UNKNOWN
SEARCH,14463722243,TITLE
SEARCH,14463722243,UNKNOWN
SEARCH,14463722244,UNKNOWN
SEARCH,14463722245,TITLE
SEARCH,14463722245,UNKNOWN
SEARCH,14463722246,TITLE
SEARCH,14463722246,UNKNOWN
SEARCH,14463722247,SITELINK3
SEARCH,14463722247,TITLE
SEARCH,14463722247,UNKNOWN
SEARCH,14463722248,UNKNOWN
SEARCH,14463722249,UNKNOWN
SEARCH,14463722251,UNKNOWN
SEARCH,14463722252,UNKNOWN
SEARCH,14463722253,TITLE
SEARCH,14463722253,UNKNOWN
SEARCH,14463722255,TITLE
SEARCH,14463722255,UNKNOWN
SEARCH,14463722257,TITLE
SEARCH,14463722257,UNKNOWN
SEARCH,14463722258,TITLE
SEARCH,14463722258,UNKNOWN
SEARCH,14463722259,TITLE
SEARCH,14463722259,UNKNOWN
SEARCH,14463722266,UNKNOWN
SEARCH,14463722269,UNKNOWN
SEARCH,14463722270,UNKNOWN
SEARCH,14669343467,SITELINK1
SEARCH,14669343467,TITLE
SEARCH,14669343467,UNKNOWN
SEARCH,14669343468,TITLE
SEARCH,14669343468,UNKNOWN
SEARCH,14669343469,TITLE
SEARCH,14669343469,UNKNOWN
SEARCH,14669343470,SITELINK1
SEARCH,14669343470,SITELINK2
SEARCH,14669343470,SITELINK7
SEARCH,14669343470,TITLE
SEARCH,14669343470,UNKNOWN
SEARCH,14669343471,SITELINK1
SEARCH,14669343471,SITELINK3
SEARCH,14669343471,TITLE
SEARCH,14669343471,UNKNOWN
SEARCH,14669343472,TITLE
SEARCH,14669343472,UNKNOWN
SEARCH,14731111897,SITELINK1
SEARCH,14731111897,TITLE
SEARCH,14731111897,UNKNOWN
SEARCH,14731111898,PHONE
SEARCH,14731111898,SITELINK1
SEARCH,14731111898,SITELINK7
SEARCH,14731111898,TITLE
SEARCH,14731111898,UNKNOWN
SEARCH,14731111899,SITELINK1
SEARCH,14731111899,SITELINK3
SEARCH,14731111899,TITLE
SEARCH,14731111899,UNKNOWN
SEARCH,14731111900,PHONE
SEARCH,14731111900,PROMO_EXTENSION
SEARCH,14731111900,SITELINK1
SEARCH,14731111900,SITELINK2
SEARCH,14731111900,TITLE
SEARCH,14731111900,UNKNOWN
SEARCH,14731111901,SITELINK1
SEARCH,14731111901,SITELINK2
SEARCH,14731111901,TITLE
SEARCH,14731111901,UNKNOWN
SEARCH,14731111902,PHONE
SEARCH,14731111902,SITELINK3
SEARCH,14731111902,TITLE
SEARCH,14731111902,UNKNOWN
SEARCH,14731111903,UNKNOWN
SEARCH,14731111904,TITLE
SEARCH,14731111904,UNKNOWN
SEARCH,14731111905,TITLE
SEARCH,14731111905,UNKNOWN
SEARCH,14731111906,UNKNOWN
SEARCH,14731111907,TITLE
SEARCH,14731111907,UNKNOWN
SEARCH,14731111908,UNKNOWN
SEARCH,14731111909,PHONE
SEARCH,14731111909,TITLE
SEARCH,14731111909,UNKNOWN
SEARCH,14731111910,TITLE
SEARCH,14731111910,UNKNOWN
SEARCH,14731111911,TITLE
SEARCH,14731111911,UNKNOWN
SEARCH,14731111912,SITELINK1
SEARCH,14731111912,SITELINK2
SEARCH,14731111912,TITLE
SEARCH,14731111912,UNKNOWN
SEARCH,14731111913,SITELINK1
SEARCH,14731111913,TITLE
SEARCH,14731111913,UNKNOWN
SEARCH,14731111914,SITELINK1
SEARCH,14731111914,TITLE
SEARCH,14731111914,UNKNOWN
SEARCH,14731111916,UNKNOWN
SEARCH,14731111917,UNKNOWN
SEARCH,14731111918,UNKNOWN
SEARCH,14731111922,UNKNOWN
SEARCH,14731111923,UNKNOWN
SEARCH,14731111924,TITLE
SEARCH,14731111924,UNKNOWN
SEARCH,14731111925,TITLE
SEARCH,14731111925,UNKNOWN
SEARCH,14731111926,UNKNOWN
SEARCH,14731111927,PHONE
SEARCH,14731111927,TITLE
SEARCH,14731111927,UNKNOWN
SEARCH,14731111928,TITLE
SEARCH,14731111928,UNKNOWN
SEARCH,14731111929,SITELINK1
SEARCH,14731111929,UNKNOWN
SEARCH,14731111930,TITLE
SEARCH,14731111930,UNKNOWN
SEARCH,14731111931,UNKNOWN
SEARCH,14731111932,TITLE
SEARCH,14731111932,UNKNOWN
SEARCH,14731111934,UNKNOWN
SEARCH,14731111937,TITLE
SEARCH,14731111937,UNKNOWN
SEARCH,14731111938,UNKNOWN
SEARCH,14731111940,TITLE
SEARCH,14731111940,UNKNOWN
SEARCH,14731111942,TITLE
SEARCH,14731111942,UNKNOWN
SEARCH,14731111943,UNKNOWN
SEARCH,14731111944,UNKNOWN
SEARCH,14731111945,UNKNOWN
SEARCH,14731111948,SITELINK1
SEARCH,14731111948,UNKNOWN
SEARCH,14731111949,UNKNOWN
SEARCH,14731111950,TITLE
SEARCH,14731111950,UNKNOWN
SEARCH,14731111951,SITELINK1
SEARCH,14731111951,UNKNOWN
SEARCH,14731111952,TITLE
SEARCH,14731111952,UNKNOWN
SEARCH,14731111953,UNKNOWN
SEARCH,14731111954,TITLE
SEARCH,14731111954,UNKNOWN
SEARCH,14731111955,TITLE
SEARCH,14731111955,UNKNOWN
SEARCH,14731111956,UNKNOWN
SEARCH,14767708059,UNKNOWN
SEARCH,14767708060,UNKNOWN
SEARCH,14767708061,TITLE
SEARCH,14767708061,UNKNOWN
SEARCH,14767708062,TITLE
SEARCH,14767708062,UNKNOWN
SEARCH,14767708063,TITLE
SEARCH,14767708063,UNKNOWN
SEARCH,14767708064,TITLE
SEARCH,14767708064,UNKNOWN
SEARCH,14847936715,TITLE
SEARCH,14847936715,UNKNOWN
SEARCH,14847936716,TITLE
SEARCH,14847936716,UNKNOWN
SEARCH,14847936717,PHONE
SEARCH,14847936717,TITLE
SEARCH,14847936717,UNKNOWN
SEARCH,14847936718,SITELINK1
SEARCH,14847936718,SITELINK3
SEARCH,14847936718,TITLE
SEARCH,14847936718,UNKNOWN
SEARCH,14847936719,PROMO_EXTENSION
SEARCH,14847936719,TITLE
SEARCH,14847936719,UNKNOWN
SEARCH,14847936720,TITLE
SEARCH,14847936720,UNKNOWN
SEARCH,14848759066,SITELINK1
SEARCH,14848759066,TITLE
SEARCH,14848759066,UNKNOWN
SEARCH,14848759067,TITLE
SEARCH,14848759067,UNKNOWN
