Date,AdNetworkType,CampaignName,LocationOfPresenceName,Device,Gender,Age,IncomeGrade,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Conversions_301649121_FCCD,Conversions_301649121_AUTO,Conversions_301314275_FCCD,Conversions_301314275_AUTO,Conversions_301313194_FCCD,Conversions_301313194_AUTO,Conversions_301315472_FCCD,Conversions_301315472_AUTO
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.73,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1.89,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,ABOVE_AVERAGE,0.78,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,2,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Майкоп,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.63,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,1.11,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,HIGH,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_45_54,OTHER,1.01,1,2,1,52.29,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,0.93,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,0.93,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,Армавир,MOBILE,GENDER_MALE,AGE_35_44,OTHER,1.08,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,Новороссийск,DESKTOP,GENDER_MALE,AGE_55,OTHER,0.8,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_55,ABOVE_AVERAGE,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,2.37,1,2,0,65.16,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,9.31,1,0,0,27.66,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,UNKNOWN,UNKNOWN,OTHER,1.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,0.95,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Армавир,MOBILE,GENDER_MALE,AGE_25_34,HIGH,0.98,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_25_34,OTHER,0.82,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_35_44,OTHER,2.07,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_45_54,OTHER,2.07,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_18_24,OTHER,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_25_34,OTHER,2.89,2,5,3,95.26,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_55,OTHER,1.04,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,10.95,2,5,3,180.9,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,HIGH,6.25,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,11.75,4,17,10,246.7,1,1,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,VERY_HIGH,0.94,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,HIGH,0.91,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,5.47,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,VERY_HIGH,1.04,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,4.48,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,HIGH,0.96,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,14.03,1,2,0,24.38,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_18_24,OTHER,1.23,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,0.87,1,2,0,64.98,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,1.31,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,HIGH,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,ABOVE_AVERAGE,1.02,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,2.39,1,8,0,98.08,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,1,1,0,0,85.93,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,UNKNOWN,UNKNOWN,OTHER,3.55,1,4,2,68.4,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Майкоп,MOBILE,GENDER_MALE,AGE_18_24,OTHER,1.22,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Майкоп,MOBILE,GENDER_MALE,AGE_25_34,ABOVE_AVERAGE,1.71,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,DESKTOP,GENDER_MALE,AGE_35_44,OTHER,2.99,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.77,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,HIGH,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1.08,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_25_34,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_55,OTHER,1.12,1,2,0,88.36,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,DESKTOP,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.95,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.45,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,TABLET,GENDER_FEMALE,AGE_55,OTHER,2.97,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Батарейки. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_45_54,HIGH,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_55,OTHER,1.02,1,1,0,82.01,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,1.26,1,2,2,52.69,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,7.28,1,2,0,152.37,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,VERY_HIGH,1.73,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,3.24,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,5.07,2,11,2,162.85,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_18_24,ABOVE_AVERAGE,1.08,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,0.62,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,0.55,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,1.3,1,4,2,66.86,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,UNKNOWN,AGE_25_34,HIGH,1.28,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Майкоп,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1.15,1,2,0,76.54,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,DESKTOP,GENDER_FEMALE,AGE_55,OTHER,0.88,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.52,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_55,ABOVE_AVERAGE,2.55,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_25_34,OTHER,1.3,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,1.18,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.76,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_MALE,AGE_25_34,ABOVE_AVERAGE,0.83,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_35_44,OTHER,2.99,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_45_54,HIGH,0.93,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_25_34,OTHER,1.04,1,3,1,49.69,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.73,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,1,1,0,0,10.78,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,ABOVE_AVERAGE,1.18,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.07,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,HIGH,1,1,0,0,81.41,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,1,1,0,0,69,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,HIGH,0.98,1,4,3,57.21,--,1,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,1.33,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,0,0,8,0,0,--,--,--,--,--,--,1,1
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,VERY_HIGH,1.14,1,0,0,77.55,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,UNKNOWN,UNKNOWN,OTHER,0.71,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,0.77,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.63,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_MALE,AGE_25_34,ABOVE_AVERAGE,0.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,Славянск-на-Кубани,MOBILE,GENDER_FEMALE,AGE_25_34,HIGH,1.05,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Батарейки. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,2.23,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,1.11,1,2,2,55.39,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_25_34,OTHER,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,2.3,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.81,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,2.45,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,1.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,0.7,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,HIGH,1.29,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Майкоп,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Майкоп,MOBILE,GENDER_MALE,AGE_55,OTHER,2.38,1,2,2,42.67,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,7.48,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_45_54,OTHER,1.27,1,2,0,56.88,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_55,OTHER,1.14,1,6,4,18.85,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.76,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,1.73,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,ABOVE_AVERAGE,1.08,1,0,0,86.89,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Батарейки. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_45_54,OTHER,1.04,1,2,0,33.51,--,--,--,--,--,--,--,--
