Date,AdNetworkType,CampaignName,AdFormat,AdId,Slot,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Conversions_301649121_FCCD,Conversions_301649121_AUTO,Conversions_301314275_FCCD,Conversions_301314275_AUTO,Conversions_301313194_FCCD,Conversions_301313194_AUTO,Conversions_301315472_FCCD,Conversions_301315472_AUTO
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,PREMIUMBLOCK,14.96,1,4,2,27.59,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,ALONE,7.72,1,2,1,58.88,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,OTHER,0.61,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,PREMIUMBLOCK,31.96,1,2,2,130.69,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,ALONE,4.76,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,PREMIUMBLOCK,31.22,8,30,8,491.01,1,1,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395294,OTHER,2,1,0,0,85.93,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395294,PREMIUMBLOCK,2.06,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,PREMIUMBLOCK,1.07,1,6,4,91.21,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722246,PREMIUMBLOCK,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,OTHER,0.34,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,28.76,6,21,6,511.32,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280295,PREMIUMBLOCK,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280301,PREMIUMBLOCK,0.88,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280316,ALONE,1.85,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280316,PREMIUMBLOCK,0.81,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280317,ALONE,0.93,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280380,PREMIUMBLOCK,1.02,1,1,0,82.01,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14431553806,PREMIUMBLOCK,1.18,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395289,PREMIUMBLOCK,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,ALONE,0.93,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,PREMIUMBLOCK,3.11,1,3,1,49.69,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,OTHER,1.08,1,0,0,81.41,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,PREMIUMBLOCK,5.56,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,SUGGEST,2,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,ALONE,0.98,1,4,3,57.21,--,1,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,OTHER,1.08,1,0,0,69,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,PREMIUMBLOCK,6.47,1,8,0,77.55,--,--,--,--,--,--,1,1
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395294,OTHER,1.08,1,0,0,10.78,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395294,PREMIUMBLOCK,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238678,PREMIUMBLOCK,1.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201671,ALONE,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201676,SUGGEST,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201678,PREMIUMBLOCK,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,27.46,4,12,8,173.79,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,ALONE,0.95,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,PREMIUMBLOCK,1.86,1,0,0,86.89,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,SUGGEST,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722255,PREMIUMBLOCK,1.04,1,2,0,33.51,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722258,PREMIUMBLOCK,2.07,1,4,1,81.22,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722259,PREMIUMBLOCK,1.02,1,2,1,53.47,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201671,PREMIUMBLOCK,2.94,1,2,0,60.19,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201675,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,ALONE,0.94,1,0,0,170.99,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,22.21,4,7,3,541.79,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280313,PREMIUMBLOCK,1.03,1,4,0,125.4,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395295,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,ALONE,0.95,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238678,PREMIUMBLOCK,1.24,1,2,0,64.2,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238680,PREMIUMBLOCK,1.24,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201671,PREMIUMBLOCK,3.36,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201674,PREMIUMBLOCK,1.21,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201676,OTHER,0.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201676,PREMIUMBLOCK,5.64,2,7,3,147.44,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201678,ALONE,1.84,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201678,PREMIUMBLOCK,6.43,1,2,2,257.23,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201680,PREMIUMBLOCK,1.29,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,27.43,5,14,4,462.06,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280309,SUGGEST,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,ALONE,2.89,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,PREMIUMBLOCK,2.82,1,1,0,173.43,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238678,PREMIUMBLOCK,1.12,1,2,0,65.33,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722243,PREMIUMBLOCK,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722249,PREMIUMBLOCK,0.84,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201671,PREMIUMBLOCK,1.73,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201673,PREMIUMBLOCK,0.89,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201675,PREMIUMBLOCK,0.87,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201676,PREMIUMBLOCK,1.28,1,4,2,41.19,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201678,PREMIUMBLOCK,3.76,1,2,0,70.57,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,15.02,4,12,0,366.66,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,14381723459,PRODUCT_GALLERY,23.75,1,4,0,29.99,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,14448493922,PRODUCT_GALLERY,3.5,1,4,0,210.39,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,14448493923,PRODUCT_GALLERY,34.85,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,14448493924,PRODUCT_GALLERY,21.37,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,14448493925,PRODUCT_GALLERY,19.89,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,TEXT,14448716929,PRODUCT_GALLERY,1.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,PREMIUMBLOCK,5.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510839,PREMIUMBLOCK,2.41,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510841,PREMIUMBLOCK,1.01,1,2,0,44.91,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510842,PREMIUMBLOCK,4.75,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510843,ALONE,1.86,1,4,0,42.69,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510843,PREMIUMBLOCK,20.57,3,7,1,380.48,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510844,ALONE,1.9,1,0,0,211.82,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448510844,PREMIUMBLOCK,2.07,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Фид. ДО,TEXT,14448823044,PREMIUMBLOCK,1.06,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238678,PREMIUMBLOCK,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238680,PREMIUMBLOCK,0.85,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238687,ALONE,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Батарейки. ТГ,TEXT,14462238687,PREMIUMBLOCK,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722258,PREMIUMBLOCK,0.94,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201671,PREMIUMBLOCK,1.88,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201674,PREMIUMBLOCK,0.72,1,2,0,48.06,--,--,--,--,1,1,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201676,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201678,ALONE,0.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201678,PREMIUMBLOCK,1.04,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201680,PREMIUMBLOCK,2.58,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,25.62,3,11,4,368.43,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201694,PREMIUMBLOCK,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280316,PREMIUMBLOCK,0.94,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,14381723459,PRODUCT_GALLERY,77.04,1,3,2,90.18,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,14381745547,PRODUCT_GALLERY,0.65,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,14448493922,PRODUCT_GALLERY,21.59,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,14448493923,PRODUCT_GALLERY,19.34,2,5,2,152.6,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,14448493924,PRODUCT_GALLERY,8.37,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[галерея] Фид. ДО,TEXT,14448493925,PRODUCT_GALLERY,24.74,1,3,2,36.36,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395295,PREMIUMBLOCK,1.12,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395296,PREMIUMBLOCK,4.92,2,2,1,96.19,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510839,ALONE,2.79,1,2,2,75.93,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510839,PREMIUMBLOCK,16.15,2,4,0,85.3,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510841,PREMIUMBLOCK,3.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510842,PREMIUMBLOCK,1.71,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510843,PREMIUMBLOCK,19.17,3,10,3,263.56,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510843,SUGGEST,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448510844,PREMIUMBLOCK,10.28,3,0,0,178.15,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Фид. ДО,TEXT,14448823044,PREMIUMBLOCK,3.02,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722255,PREMIUMBLOCK,1.04,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722258,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-05,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722258,PREMIUMBLOCK,1.88,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201671,PREMIUMBLOCK,3.5,2,6,0,103.44,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201673,PREMIUMBLOCK,2.06,1,2,0,132.93,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201675,PREMIUMBLOCK,1.85,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201676,PREMIUMBLOCK,2.25,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,10.79,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[галерея] Фид. ДО,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[галерея] Фид. ДО,TEXT,14381723459,PRODUCT_GALLERY,73.76,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[галерея] Фид. ДО,TEXT,14381745547,PRODUCT_GALLERY,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-06,SEARCH,[галерея] Фид. ДО,TEXT,14448493922,PRODUCT_GALLERY,16.33,0,0,0,0,--,--,--,--,--,--,--,--
