Date,AdNetworkType,Device,CampaignId,CampaignName,AdGroupName,AdGroupId,AdId,Cost,Impressions,Clicks,Sessions,Bounces,Calls,JS_Mes,JS_Leads,Forms,EM_Copy,EM_Click,Goals
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141151,0,3,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141152,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141157,0,4,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141158,0,5,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454372,0,11,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454373,0,4,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454375,0,24,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454378,0,33,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454379,0,945,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454380,0,38,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454381,37.9,329,3,3,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,49.36,260,3,3,2,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731883,0,13,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731885,0,9,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454376,66.46,2054,21,16,11,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454377,90.46,2260,15,10,4,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454382,32.66,277,4,3,1,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454383,30.92,104,3,3,1,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539872,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,42.94,2045,15,13,8,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539874,0,5,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731884,24.17,347,4,4,2,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595841075,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454373,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454375,0,5,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454378,0,9,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454379,0,99,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454380,0,4,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454381,0,45,0,0,0,0,0,0,0,0,0,0
2024-01-10,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,0,69,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,сельхоз трактора,5365161814,15590141099,152.53,26,4,4,0,0,1,1,0,0,0,2
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141117,190.14,27,4,4,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141118,43.06,7,1,1,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141119,43.42,2,1,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141122,212.31,16,7,13,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141124,125.81,15,4,2,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141126,370.74,70,9,10,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141128,91.76,10,3,2,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141130,102.98,11,2,4,2,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141131,0,6,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141132,34.85,4,1,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141145,83.05,15,2,2,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141146,51.88,6,1,1,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141149,0,11,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141150,34.62,2,1,1,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141154,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141155,0,7,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141156,0,13,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,сельхоз трактора,5365161814,15590141101,113.93,28,4,4,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,сельхоз трактора,5365161814,15590141102,0,22,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141115,266.91,56,8,8,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141116,51.15,40,2,2,0,1,0,0,0,0,0,1
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141120,56.69,18,2,2,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141121,103.3,7,3,3,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141123,216.47,12,4,4,2,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141125,128.08,31,4,4,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141127,78.46,47,2,2,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141129,197.05,51,5,5,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141135,29.42,16,1,2,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141136,44.6,24,2,3,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые тракторы беларус,5365161822,15590141143,0,10,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141147,85.88,35,3,3,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141148,143.86,29,5,6,1,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141151,0,15,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141157,0,14,0,0,0,0,0,0,0,0,0,0
2024-01-10,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141158,62.06,16,1,1,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454372,0,14,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454373,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454375,0,50,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454378,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454379,0,97,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454380,0,13,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454381,0,611,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,0,14,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539874,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539875,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731883,0,57,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731885,0,109,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595841075,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454376,0,116,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454377,73.34,2485,17,11,4,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454382,33.66,367,9,9,3,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454383,16.92,584,3,4,1,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,5.39,242,2,1,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539874,2.25,19,1,1,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539875,0,78,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731884,18.29,218,3,3,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731886,8.17,19,1,1,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454373,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454375,0,13,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454378,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454379,0,14,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454380,0,5,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454381,0,108,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,0,10,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539875,0,9,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731883,0,7,0,0,0,0,0,0,0,0,0,0
2024-01-11,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731885,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,сельхоз трактора,5365161814,15590141099,132.73,30,3,2,1,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141117,0,12,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141118,41.63,15,1,1,1,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141119,0,5,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141122,250.98,42,5,5,0,0,0,0,0,1,1,2
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141124,0,12,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141126,193.5,26,4,4,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141128,157.1,16,4,2,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141130,77.02,16,2,2,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141131,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141132,31.67,10,1,2,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141145,219.8,30,6,8,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141146,0,6,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141149,18.35,7,1,1,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141150,90.57,6,2,1,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141155,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,сельхоз трактора,5365161814,15590141101,78.48,46,2,2,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,сельхоз трактора,5365161814,15590141102,174.91,71,5,5,3,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141115,182.2,95,6,8,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141116,87.66,21,2,2,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141120,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141121,33.67,19,1,1,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141123,142.61,51,3,3,2,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141125,0,28,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141127,324.15,123,8,9,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141129,507.05,88,12,11,2,1,0,0,0,0,0,1
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141134,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141135,57.61,25,2,2,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141136,111.74,28,3,3,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые тракторы беларус,5365161822,15590141143,18.4,14,1,1,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141147,183.16,25,4,3,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141148,0,18,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141151,0,9,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141152,0,10,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141157,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-11,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141158,0,1,0,0,0,0,0,0,0,0,0,0
