Date,Calls,B24,Forms,EMails,Goals,page2,page3,page4,min3,min6,min8,dl1,dl2,dl3,dl4,dl5,dl6,dl7,dl8,dl9,dl10
2024-03-05,0,2,1,0,3,17,12,7,10,3,,25,21,16,14,10,8,7,7,7,7
2024-03-06,,,,,,13,9,5,12,3,,21,18,16,15,13,10,8,6,4,2
2024-03-07,1,0,0,0,1,11,8,7,9,5,3,26,20,17,12,9,6,6,5,5,5
2024-03-08,,,,,,8,5,3,11,6,3,17,12,6,3,2,2,2,2,1,1
2024-03-09,0,0,0,1,1,9,5,3,8,3,2,20,14,9,7,6,5,5,5,4,4
2024-03-10,,,,,,10,6,1,5,1,1,15,7,2,2,2,1,1,1,1,1
2024-03-11,0,0,0,2,2,14,10,8,12,7,2,28,21,14,13,12,11,9,8,6,6
2024-03-12,1,0,0,0,1,14,7,5,11,6,6,29,24,19,13,11,10,9,8,6,5
2024-03-13,,,,,,13,9,6,15,7,5,32,25,21,17,16,12,12,11,10,8
2024-03-14,,,,,,13,7,4,5,5,4,28,25,20,15,11,9,8,7,4,4
2024-03-15,0,1,0,0,1,15,10,6,7,4,4,28,24,19,18,17,14,11,11,8,7
2024-03-16,1,0,0,0,1,8,4,1,4,2,1,24,19,15,12,9,8,6,5,5,3
2024-03-17,0,0,1,0,1,10,3,2,10,5,4,23,16,12,11,8,7,6,5,4,4
2024-03-18,4,0,0,0,4,21,8,6,18,8,5,40,32,25,19,17,14,11,8,7,5
2024-03-19,3,0,1,0,4,17,12,9,17,9,8,35,29,24,21,19,14,13,12,11,9
2024-03-20,0,0,1,0,1,15,11,8,3,3,3,22,17,14,14,12,9,9,9,8,8
2024-03-21,1,1,0,0,2,12,5,5,7,5,4,31,22,16,13,11,8,7,7,6,6
2024-03-22,1,0,0,0,1,12,6,4,2,2,1,20,18,14,11,9,8,6,6,4,3
2024-03-23,1,0,0,0,1,7,4,3,7,3,3,22,15,15,11,9,7,6,5,3,2
2024-03-24,0,0,2,0,2,7,7,6,12,4,3,19,15,13,10,10,10,8,7,6,6
2024-03-25,1,2,0,0,3,16,10,8,12,8,6,31,24,20,19,15,14,13,11,9,8
2024-03-26,2,0,0,1,3,18,10,5,11,7,6,38,32,26,21,14,13,11,8,6,5
2024-03-27,2,1,0,0,3,20,14,9,11,5,3,28,24,19,16,13,10,9,8,7,5
2024-03-28,1,0,0,1,2,13,11,8,8,7,6,26,21,16,15,13,13,12,12,10,9
2024-03-29,0,1,0,0,1,9,4,2,5,3,2,19,17,10,9,6,6,2,2,2,2
2024-03-30,0,0,0,1,1,12,8,5,6,3,2,20,16,14,12,10,9,9,8,7,7
2024-03-31,,,,,,7,4,3,5,4,4,20,16,13,8,8,6,6,5,3,3
2024-04-01,,,,,,15,11,6,7,5,4,26,19,16,13,9,6,6,5,4,4
2024-04-02,,,,,,10,7,4,11,6,4,26,19,13,11,7,7,4,3,2,2
2024-04-03,0,1,0,0,1,7,5,3,6,5,5,20,17,15,13,10,7,7,7,4,3
2024-04-04,2,0,1,0,3,16,7,6,11,5,5,33,25,24,18,17,12,11,9,7,7
2024-04-05,,,,,,16,8,5,7,2,1,24,18,15,10,8,7,4,2,2,2
2024-04-06,0,2,0,0,2,15,9,5,8,5,4,29,25,21,15,11,8,6,4,5,5
2024-04-07,0,1,0,0,1,5,3,2,8,3,,17,15,12,7,6,6,5,5,5,5
2024-04-08,0,0,2,0,2,15,8,4,19,15,13,31,23,20,15,13,10,10,10,9,7
2024-04-09,,,,,,11,8,8,4,1,1,18,15,14,9,9,5,4,4,4,3
2024-04-10,2,1,0,0,3,11,4,3,10,7,5,25,19,14,12,7,5,2,2,2,2
2024-04-11,1,0,0,0,1,8,5,3,7,4,2,14,10,8,7,7,7,6,6,5,4
2024-04-12,,,,,,14,8,4,20,13,11,22,16,16,11,10,8,8,8,5,4
2024-04-13,1,0,0,0,1,15,12,11,10,6,5,25,19,19,16,12,10,10,9,8,8
2024-04-14,,,,,,6,3,3,7,3,2,20,15,12,11,9,6,5,5,4,4
2024-04-15,0,1,0,0,1,8,4,3,2,1,1,16,13,10,10,9,6,5,5,5,3
